file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\scheduler\cron\CronExpression.java,com.xxl.job.admin.scheduler.cron.CronExpression,class,2,6,4,2,348,1,0,82,473,0.9004608,0.0,0.0,35,2,16,3,15,1,33,0,0,0,31,18,1,3,27,0,19,0,22,1129,74,11,146,6,49,105,299,258,85,132,6,0,0,1,457,17,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-executor-samples\xxl-job-executor-sample-springboot-ai\src\main\java\com\xxl\job\executor\config\XxlJobConfig.java,XxlJobConfig,class,7,8,1,7,1,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,10,0,0,10,0,0,0,0,0,26,1,0,0,0,0,10,0,2,0,11,0,0,0,0,24,1,1
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\glue\GlueFactory.java,com.xxl.job.core.glue.GlueFactory,class,5,9,4,5,14,1,1,13,6,0.6,0.0,0.0,5,2,4,1,0,0,4,0,0,0,3,1,0,3,0,0,0,0,1,51,4,0,6,1,0,5,5,11,2,8,4,0,0,0,58,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\web\xxlsso\SimpleLoginStore.java,com.xxl.job.admin.web.xxlsso.SimpleLoginStore,class,7,8,1,7,8,1,0,16,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,4,28,5,0,2,0,0,6,3,7,0,8,1,0,0,0,39,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\util\FileUtil.java,com.xxl.job.core.util.FileUtil,class,3,6,3,3,17,1,0,17,4,0.5,0.0,0.0,4,4,4,0,0,0,4,0,0,0,1,1,0,1,0,0,0,0,1,72,4,1,4,4,0,0,0,9,0,7,4,0,0,0,31,1,4
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\test\java\com\xxl\job\admin\mapper\XxlJobInfoMapperTest.java,com.xxl.job.admin.mapper.XxlJobInfoMapperTest,class,7,8,1,7,2,1,0,32,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,0,0,2,54,0,0,0,0,0,24,13,10,0,11,0,0,0,0,22,1,2
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\biz\model\LogResult.java,com.xxl.job.core.biz.model.LogResult,class,0,6,6,0,10,1,0,0,21,0.76000005,0.0,0.0,10,0,10,0,0,0,10,0,0,0,5,1,0,5,0,0,1,0,0,39,4,0,0,0,0,0,1,9,0,5,0,0,0,0,27,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\scheduler\exception\XxlJobException.java,com.xxl.job.admin.scheduler.exception.XxlJobException,class,0,3,3,0,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\web\xxlsso\XxlSsoConfig.java,com.xxl.job.admin.web.xxlsso.XxlSsoConfig,class,9,9,0,9,2,1,0,5,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,5,0,0,5,0,0,0,0,0,18,1,0,0,0,0,7,0,2,0,7,0,0,0,0,28,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\thread\JobThread.java,com.xxl.job.core.thread.JobThread,class,11,14,3,11,26,2,0,47,0,0.6111111,0.0,0.0,6,0,6,0,0,0,6,0,0,0,9,1,0,9,0,0,0,0,27,137,4,2,6,4,1,18,12,26,8,19,5,1,0,0,74,1,4
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\scheduler\alarm\JobAlarmer.java,com.xxl.job.admin.scheduler.alarm.JobAlarmer,class,9,12,3,9,10,1,0,8,0,0.44444445,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,1,0,3,0,0,0,0,0,33,1,1,2,1,0,0,2,9,0,6,3,0,0,0,31,1,1
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\biz\model\RegistryParam.java,com.xxl.job.core.biz.model.RegistryParam,class,0,9,9,0,9,1,0,0,4,0.6666667,0.0,0.0,9,0,9,0,0,0,9,0,0,0,4,1,0,4,0,0,1,0,0,34,4,0,0,0,0,4,1,7,2,4,0,0,0,0,22,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\model\XxlJobRegistry.java,com.xxl.job.admin.model.XxlJobRegistry,class,0,4,4,0,10,1,0,0,35,0.8,0.0,0.0,10,0,10,0,0,0,10,0,0,0,5,0,0,5,0,0,0,0,0,37,5,0,0,0,0,0,0,5,0,5,0,0,0,0,19,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\util\XxlJobRemotingUtil.java,com.xxl.job.core.util.XxlJobRemotingUtil$Anonymous2,anonymous,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\util\JdkSerializeTool.java,com.xxl.job.core.util.JdkSerializeTool,class,4,6,2,4,6,1,0,10,0,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,49,4,0,0,4,0,0,0,10,0,6,2,0,0,0,26,1,4
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\executor\impl\XxlJobSpringExecutor.java,com.xxl.job.core.executor.impl.XxlJobSpringExecutor,class,11,14,3,11,15,2,0,19,9,0.6666666,0.0,0.0,6,1,4,2,0,0,4,0,0,0,2,2,0,2,0,0,1,0,1,66,3,2,3,2,0,5,1,10,1,8,2,1,0,0,54,1,2
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\util\XxlJobRemotingUtil.java,com.xxl.job.core.util.XxlJobRemotingUtil$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\model\XxlJobLogReport.java,com.xxl.job.admin.model.XxlJobLogReport,class,0,3,3,0,10,1,0,0,35,0.8,0.0,0.0,10,0,10,0,0,0,10,0,0,0,5,0,0,5,0,0,0,0,0,37,5,0,0,0,0,0,0,5,0,5,0,0,0,0,19,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-executor-samples\xxl-job-executor-sample-springboot-ai\src\test\java\com\xxl\job\executor\test\XxlJobExecutorExampleBootApplicationTests.java,XxlJobExecutorExampleBootApplicationTests,class,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\test\java\com\xxl\job\admin\mapper\XxlJobLogGlueMapperTest.java,com.xxl.job.admin.mapper.XxlJobLogGlueMapperTest,class,5,5,0,5,1,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,16,0,0,0,0,0,3,5,5,0,6,0,0,0,0,16,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\openapi\JobApiController.java,com.xxl.job.admin.controller.openapi.JobApiController,class,13,13,0,13,8,1,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,6,29,7,0,0,0,0,12,0,3,1,4,1,0,0,0,30,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\scheduler\complete\XxlJobCompleter.java,com.xxl.job.admin.scheduler.complete.XxlJobCompleter,class,10,14,4,10,17,1,0,25,3,0.6666667,NaN,NaN,3,3,1,2,0,0,1,0,0,0,1,1,0,1,0,0,0,0,15,47,3,1,6,1,4,9,11,11,4,8,5,0,0,0,46,1,1
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\util\GsonTool.java,com.xxl.job.core.util.GsonTool,class,6,12,6,6,11,1,0,8,0,0.0,0.0,0.0,10,10,10,0,0,0,11,0,0,0,1,1,0,1,0,0,0,0,0,40,10,0,0,0,0,1,0,6,0,5,0,0,0,0,38,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\model\XxlJobLogGlue.java,com.xxl.job.admin.model.XxlJobLogGlue,class,0,3,3,0,14,1,0,0,77,0.85714287,0.0,0.0,14,0,14,0,0,0,14,0,0,0,7,0,0,7,0,0,0,0,0,51,7,0,0,0,0,0,0,7,0,7,0,0,0,0,27,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\glue\impl\SpringGlueFactory.java,com.xxl.job.core.glue.impl.SpringGlueFactory,class,7,9,2,7,16,2,0,17,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,7,52,2,1,9,2,0,0,2,10,0,5,4,0,0,0,25,1,1
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\scheduler\scheduler\ScheduleTypeEnum.java,com.xxl.job.admin.scheduler.scheduler.ScheduleTypeEnum,enum,2,6,4,2,5,1,0,4,1,0.33333334,0.0,0.0,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,4,19,3,1,0,0,0,3,0,1,0,1,2,0,0,0,37,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\glue\GlueTypeEnum.java,com.xxl.job.core.glue.GlueTypeEnum,enum,1,7,6,1,8,1,0,3,7,0.6666667,0.0,0.0,6,1,5,1,0,0,5,0,0,0,4,0,0,4,0,0,0,0,1,31,6,1,0,0,0,20,0,4,0,4,2,0,0,0,47,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\util\ThrowableUtil.java,com.xxl.job.core.util.ThrowableUtil,class,0,2,2,0,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,2,0,2,0,0,0,0,12,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\scheduler\alarm\JobAlarm.java,com.xxl.job.admin.scheduler.alarm.JobAlarm,interface,2,4,2,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\util\JobGroupPermissionUtil.java,com.xxl.job.admin.util.JobGroupPermissionUtil,class,6,11,5,6,11,1,0,18,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,28,5,0,2,0,3,9,0,4,1,5,1,0,0,1,30,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\web\interceptor\CommonDataInterceptor.java,com.xxl.job.admin.web.interceptor.CommonDataInterceptor,class,4,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,20,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\test\java\com\xxl\job\admin\controller\AbstractSpringMvcTest.java,com.xxl.job.admin.controller.AbstractSpringMvcTest,class,5,6,1,5,1,1,1,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,2,0,0,0,0,13,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\scheduler\alarm\impl\EmailJobAlarm.java,com.xxl.job.admin.scheduler.alarm.impl.EmailJobAlarm,class,12,13,1,12,11,1,0,31,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,17,40,2,1,5,1,0,43,1,14,4,11,3,0,0,0,58,1,1
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\thread\JobLogFileCleanThread.java,com.xxl.job.core.thread.JobLogFileCleanThread$Anonymous1,anonymous,2,2,0,2,14,1,0,15,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,53,0,2,3,3,2,3,11,6,3,5,5,0,0,0,30,-1,4
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\mapper\XxlJobLogGlueMapper.java,com.xxl.job.admin.mapper.XxlJobLogGlueMapper,interface,3,6,3,3,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\scheduler\route\strategy\ExecutorRouteLast.java,com.xxl.job.admin.scheduler.route.strategy.ExecutorRouteLast,class,3,4,1,3,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,13,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\test\java\com\xxl\job\adminbiz\AdminBizTest.java,com.xxl.job.adminbiz.AdminBizTest,class,6,6,0,6,3,1,0,9,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,3,0,3,0,0,0,0,1,26,0,0,0,0,0,5,2,13,0,13,0,0,0,0,33,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-executor-samples\xxl-job-executor-sample-springboot-ai\src\main\java\com\xxl\job\executor\controller\IndexController.java,com.xxl.job.executor.controller.IndexController$Anonymous1,anonymous,2,2,0,2,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,1,0,0,0,0,0,0,1,1,0,0,8,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\controller\biz\JobCodeController.java,com.xxl.job.admin.controller.biz.JobCodeController,class,15,15,0,15,8,1,0,26,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,14,47,5,0,4,0,1,16,3,4,1,6,1,0,0,0,30,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\scheduler\scheduler\XxlJobScheduler.java,com.xxl.job.admin.scheduler.scheduler.XxlJobScheduler,class,13,19,6,13,8,1,0,32,4,0.625,0.0,0.0,4,1,3,1,0,0,3,0,0,0,2,2,0,2,0,0,1,0,16,40,3,1,3,0,0,2,1,5,0,3,1,0,0,0,25,1,1
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\biz\client\AdminBizClient.java,com.xxl.job.core.biz.client.AdminBizClient,class,5,7,2,5,8,1,0,2,0,0.2,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,3,27,3,0,0,0,1,5,3,5,4,3,1,0,0,0,18,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\enums\RegistryConfig.java,com.xxl.job.core.enums.RegistryConfig,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,5,0,0,0,0,0,0,2,2,1,2,0,0,1,0,20,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\test\java\com\xxl\job\admin\controller\JobInfoControllerTest.java,com.xxl.job.admin.controller.JobInfoControllerTest,class,9,10,1,9,2,2,0,13,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,0,0,0,15,0,0,0,0,0,10,0,5,0,5,0,0,0,0,21,1,1
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\context\XxlJobHelper.java,com.xxl.job.core.context.XxlJobHelper,class,6,17,11,6,26,1,0,28,103,0.8666667,0.0,0.0,15,15,14,1,0,0,14,0,0,0,1,1,0,1,0,0,0,0,18,98,23,0,10,0,0,14,6,17,3,17,1,0,0,0,63,1,1
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\util\I18nUtil.java,com.xxl.job.admin.util.I18nUtil,class,6,29,23,6,9,1,0,12,1,0.5,0.0,0.0,3,3,3,0,0,0,3,0,0,0,2,2,0,2,0,0,0,0,4,38,4,2,2,1,0,2,1,9,0,8,2,0,0,0,36,1,1
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\thread\TriggerCallbackThread.java,com.xxl.job.core.thread.TriggerCallbackThread$Anonymous1,anonymous,2,2,0,2,11,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,35,0,1,3,2,0,1,2,5,0,5,4,0,0,0,20,-1,3
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\scheduler\route\strategy\ExecutorRouteLFU.java,com.xxl.job.admin.scheduler.route.strategy.ExecutorRouteLFU$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\server\EmbedServer.java,com.xxl.job.core.server.EmbedServer$EmbedHttpServerHandler$Anonymous5,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,2,0,2,0,0,0,0,8,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-core\src\main\java\com\xxl\job\core\thread\TriggerCallbackThread.java,com.xxl.job.core.thread.TriggerCallbackThread$Anonymous2,anonymous,1,1,0,1,6,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,2,0,1,0,0,0,0,3,0,0,0,13,-1,3
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\mapper\XxlJobInfoMapper.java,com.xxl.job.admin.mapper.XxlJobInfoMapper,interface,3,13,10,3,10,1,0,0,45,0.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,19,0,0,0,0,0,0,0,0,43,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\scheduler\thread\JobTriggerPoolHelper.java,com.xxl.job.admin.scheduler.thread.JobTriggerPoolHelper$Anonymous5,anonymous,1,1,0,1,6,1,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,28,1,0,2,1,0,1,3,5,3,4,3,0,0,0,17,-1,1
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\scheduler\thread\JobTriggerPoolHelper.java,com.xxl.job.admin.scheduler.thread.JobTriggerPoolHelper$Anonymous4,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,15,-1,1
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\web\interceptor\CommonDataInterceptor.java,com.xxl.job.admin.web.interceptor.CommonDataInterceptor$Anonymous1,anonymous,4,4,0,4,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0,0,1,0,0,0,13,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\web\error\WebErrorPageRegistrar.java,com.xxl.job.admin.web.error.WebErrorPageRegistrar,class,4,4,0,4,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,10,1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\scheduler\thread\JobTriggerPoolHelper.java,com.xxl.job.admin.scheduler.thread.JobTriggerPoolHelper$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,10,-1,0
D:\laboratorio-02-repositorios-java\.\repositories\xxl-job\xxl-job-admin\src\main\java\com\xxl\job\admin\scheduler\thread\JobTriggerPoolHelper.java,com.xxl.job.admin.scheduler.thread.JobTriggerPoolHelper$Anonymous3,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,10,-1,0
